星期,年月日,睡眠分数,睡眠时长(分钟),轻度睡眠,深睡,休息心率,睡觉开始时间,睡觉结束时间
4,2022/8/2,73,524,10%,4%,95%,8:15,16:59
6,2022/8/24,74,520,15%,6%,88%,12:29,21:09
5,2022/8/10,95,561,29%,17%,95%,14:17,23:38
6,2022/6/20,94,317,2%,8%,71%,7:33,12:50
6,2022/2/26,91,325,18%,17%,81%,22:27,3:52
7,2022/7/18,85,475,14%,6%,92%,7:40,15:35
5,2022/5/17,92,341,22%,15%,91%,3:42,9:23
6,2022/7/25,76,457,21%,30%,83%,0:44,8:21
3,2022/2/26,86,475,15%,16%,86%,17:16,1:11
4,2022/8/31,79,545,19%,8%,89%,5:38,14:43
4,2022/7/30,94,473,23%,11%,91%,8:07,16:00
5,2022/3/22,74,533,20%,15%,85%,18:54,3:47
3,2022/2/14,88,319,21%,13%,92%,19:21,0:40
6,2022/7/28,73,336,16%,12%,74%,17:59,23:35
2,2022/5/15,99,464,7%,19%,100%,14:27,22:11
6,2022/4/4,72,565,19%,23%,92%,9:48,19:13
3,2022/5/17,76,336,1%,21%,92%,10:12,15:48
3,2022/2/16,84,433,23%,10%,81%,10:52,18:05
2,2022/2/13,70,564,8%,1%,76%,19:18,4:42
3,2022/8/23,90,319,8%,24%,97%,10:03,15:22
1,2022/5/17,87,537,13%,26%,96%,17:47,2:44
2,2022/6/14,96,419,8%,9%,76%,11:19,18:18
2,2022/1/22,83,546,27%,26%,79%,9:25,18:31
7,2022/7/16,97,379,16%,30%,77%,11:58,18:17
2,2022/8/19,76,467,19%,22%,82%,18:41,2:28
4,2022/5/16,77,530,23%,29%,95%,10:41,19:31
1,2022/6/15,78,487,27%,7%,70%,20:24,4:31
7,2022/8/12,78,408,2%,15%,99%,11:05,17:53
3,2022/1/19,77,479,22%,25%,77%,12:08,20:07
3,2022/3/6,92,314,11%,20%,85%,15:07,20:21
5,2022/1/26,99,532,19%,16%,87%,16:43,1:35
5,2022/8/7,97,435,11%,13%,95%,11:39,18:54
7,2022/6/12,78,358,18%,13%,71%,6:07,12:05
2,2022/2/20,93,590,17%,16%,83%,14:28,0:18
6,2022/8/16,75,319,23%,16%,72%,20:27,1:46
3,2022/4/5,79,503,16%,21%,88%,10:38,19:01
6,2022/4/8,70,447,3%,9%,71%,7:30,14:57
3,2022/4/9,77,579,2%,12%,73%,0:25,10:04
1,2022/7/30,83,434,28%,7%,71%,13:11,20:25
5,2022/8/1,86,448,0%,1%,95%,20:14,3:42
7,2022/7/6,95,370,11%,28%,85%,21:29,3:39
4,2022/1/29,85,386,12%,19%,95%,2:08,8:34
7,2022/5/2,70,411,24%,2%,93%,6:36,13:27
1,2022/1/21,87,595,20%,21%,83%,8:29,18:24
1,2022/3/19,78,421,22%,17%,98%,9:16,16:17
1,2022/6/29,88,386,3%,19%,99%,10:37,17:03
5,2022/4/16,79,401,0%,22%,98%,23:19,6:00
6,2022/7/27,99,587,15%,23%,71%,4:05,13:52
4,2022/3/17,87,313,0%,16%,82%,1:21,6:34
2,2022/3/16,89,395,22%,28%,83%,9:49,16:24
7,2022/1/8,84,508,16%,4%,93%,18:22,2:50
1,2022/6/27,99,317,17%,15%,75%,2:02,7:19
2,2022/8/2,70,447,9%,0%,77%,14:43,22:10
3,2022/3/13,77,596,26%,23%,92%,4:27,14:23
1,2022/4/23,72,399,19%,22%,79%,16:53,23:32
7,2022/7/26,83,493,27%,15%,77%,20:40,4:53
1,2022/2/26,94,427,13%,4%,79%,8:56,16:03
3,2022/7/5,72,472,28%,18%,72%,9:46,17:38
4,2022/1/29,81,461,24%,27%,87%,4:02,11:43
6,2022/6/28,95,467,3%,21%,96%,9:42,17:29
5,2022/6/2,97,559,15%,6%,72%,0:11,9:30
2,2022/1/22,94,407,17%,14%,80%,20:14,3:01
4,2022/7/1,71,482,12%,12%,72%,14:42,22:44
4,2022/4/23,82,373,25%,5%,86%,22:43,4:56
5,2022/5/10,92,470,19%,14%,87%,20:21,4:11
2,2022/3/31,85,352,26%,7%,80%,16:22,22:14
6,2022/1/20,99,419,26%,1%,99%,21:46,4:45
4,2022/4/28,99,428,20%,3%,78%,6:26,13:34
6,2022/6/3,75,531,17%,24%,79%,15:03,23:54
6,2022/6/17,79,593,14%,9%,76%,6:33,16:26
4,2022/8/12,72,440,7%,15%,100%,22:22,5:42
5,2022/4/9,88,573,29%,30%,81%,2:13,11:46
6,2022/7/28,81,425,12%,18%,96%,1:34,8:39
2,2022/4/23,79,510,12%,6%,79%,3:10,11:40
2,2022/4/3,98,380,16%,12%,80%,19:42,2:02
5,2022/4/17,94,475,23%,23%,95%,23:31,7:26
2,2022/6/2,85,309,3%,15%,78%,3:29,8:38
2,2022/1/11,71,302,5%,2%,89%,5:34,10:36
4,2022/8/22,96,599,27%,18%,81%,2:37,12:36
1,2022/2/7,80,461,10%,13%,91%,7:37,15:18
3,2022/1/9,86,409,3%,20%,78%,18:06,0:55
4,2022/5/9,83,373,9%,8%,71%,3:09,9:22
1,2022/7/24,97,519,10%,25%,90%,7:17,15:56
3,2022/8/26,82,475,24%,12%,94%,20:11,4:06
2,2022/1/22,86,474,24%,25%,78%,13:26,21:20
3,2022/2/14,73,387,19%,16%,92%,7:26,13:53
6,2022/8/28,72,419,6%,23%,99%,3:08,10:07
4,2022/1/17,96,403,30%,2%,90%,6:24,13:07
3,2022/6/15,80,456,3%,24%,82%,19:45,3:21
6,2022/5/10,73,423,21%,11%,83%,1:42,8:45
7,2022/4/17,75,316,1%,1%,100%,3:30,8:46
2,2022/8/2,70,426,29%,25%,80%,8:42,15:48
7,2022/1/10,76,458,18%,27%,86%,7:43,15:21
1,2022/7/10,86,304,24%,17%,76%,4:33,9:37
1,2022/1/5,86,409,7%,6%,77%,9:54,16:43
6,2022/6/10,93,318,19%,23%,96%,5:29,10:47
5,2022/8/9,87,300,24%,2%,95%,9:32,14:32
7,2022/5/4,71,548,25%,0%,100%,23:19,8:27
1,2022/5/3,83,318,12%,2%,81%,15:15,20:33
7,2022/8/8,73,498,23%,30%,93%,0:48,9:06
3,2022/3/19,87,518,10%,22%,100%,22:08,6:46
1,2022/6/16,94,335,17%,26%,83%,12:11,17:46
1,2022/7/16,98,316,15%,25%,86%,11:23,16:39
7,2022/8/8,85,360,10%,5%,93%,21:39,3:39
4,2022/2/24,83,407,19%,26%,90%,16:02,22:49
3,2022/7/18,96,322,7%,9%,88%,10:01,15:23
5,2022/6/12,72,487,23%,19%,76%,6:05,14:12
1,2022/8/12,72,337,0%,25%,78%,20:21,1:58
6,2022/4/25,99,460,21%,2%,74%,9:58,17:38
5,2022/8/22,74,421,12%,0%,99%,21:58,4:59
3,2022/8/15,99,499,23%,6%,95%,21:47,6:06
1,2022/2/10,84,490,6%,11%,74%,19:24,3:34
6,2022/2/18,97,551,24%,13%,82%,8:07,17:18
5,2022/2/14,99,476,6%,3%,97%,21:35,5:31
4,2022/3/17,96,340,29%,27%,79%,17:09,22:49
6,2022/1/13,88,563,14%,29%,73%,22:51,8:14
2,2022/3/10,77,528,19%,16%,99%,6:05,14:53
5,2022/6/16,96,479,9%,11%,83%,22:58,6:57
7,2022/2/10,74,311,27%,17%,96%,11:24,16:35
4,2022/1/18,79,416,20%,7%,84%,12:31,19:27
4,2022/1/6,87,552,12%,11%,96%,3:04,12:16
2,2022/1/25,74,300,4%,13%,98%,8:53,13:53
7,2022/3/23,87,417,4%,11%,84%,13:45,20:42
6,2022/1/10,90,571,20%,15%,88%,11:54,21:25
5,2022/1/5,97,564,24%,2%,84%,0:51,10:15
2,2022/5/4,82,527,9%,2%,88%,8:36,17:23
4,2022/8/13,85,338,10%,18%,88%,18:44,0:22
3,2022/6/10,96,401,1%,17%,84%,7:02,13:43
4,2022/7/12,74,435,29%,4%,88%,21:47,5:02
5,2022/8/2,95,375,6%,6%,77%,5:59,12:14
4,2022/2/28,78,473,26%,23%,93%,0:41,8:34
2,2022/5/26,95,307,30%,2%,88%,13:23,18:30
5,2022/6/15,76,317,29%,28%,98%,22:53,4:10
6,2022/8/30,78,593,16%,1%,77%,4:13,14:06
7,2022/2/10,87,501,28%,24%,75%,21:57,6:18
5,2022/2/13,71,338,19%,27%,73%,6:33,12:11
1,2022/8/27,84,582,17%,5%,86%,23:25,9:07
3,2022/4/22,85,598,1%,2%,86%,14:50,0:48
6,2022/7/3,95,338,7%,2%,84%,13:23,19:01
4,2022/1/31,79,320,12%,11%,87%,2:15,7:35
7,2022/3/26,91,541,27%,3%,75%,4:15,13:16
6,2022/4/5,86,370,6%,2%,98%,16:09,22:19
3,2022/6/9,72,438,5%,2%,82%,11:18,18:36
5,2022/2/11,76,485,5%,7%,75%,0:54,8:59
7,2022/4/5,96,466,27%,14%,86%,16:52,0:38
7,2022/7/14,99,472,8%,17%,72%,23:06,6:58
7,2022/4/28,80,387,29%,8%,74%,16:59,23:26
3,2022/6/10,81,362,8%,11%,70%,4:11,10:13
5,2022/1/27,99,393,27%,10%,89%,6:01,12:34
5,2022/8/8,95,567,19%,7%,94%,14:12,23:39
4,2022/1/24,84,319,22%,11%,72%,15:17,20:36
7,2022/6/10,90,405,27%,1%,83%,11:12,17:57
1,2022/5/3,90,400,23%,22%,71%,11:46,18:26
2,2022/4/2,76,365,15%,28%,94%,17:11,23:16
6,2022/5/20,75,573,4%,27%,80%,6:03,15:36
1,2022/3/24,93,472,25%,10%,72%,18:12,2:04
4,2022/6/7,87,326,24%,28%,71%,6:11,11:37
4,2022/6/16,80,338,11%,24%,88%,23:47,5:25
4,2022/2/10,87,588,18%,9%,99%,21:08,6:56
7,2022/8/16,80,328,22%,13%,87%,19:51,1:19
6,2022/4/27,97,572,25%,22%,71%,10:32,20:04
5,2022/2/4,89,328,2%,20%,83%,4:45,10:13
5,2022/6/25,72,402,1%,8%,76%,19:42,2:24
4,2022/1/30,76,593,14%,4%,96%,22:48,8:41
3,2022/8/21,78,588,15%,30%,89%,18:28,4:16
4,2022/8/8,81,537,6%,1%,88%,10:49,19:46
5,2022/4/6,73,439,6%,18%,76%,9:04,16:23
4,2022/4/28,94,502,24%,4%,82%,14:06,22:28
4,2022/1/10,71,501,23%,4%,78%,15:48,0:09
5,2022/6/28,84,578,28%,6%,91%,0:43,10:21
6,2022/8/5,90,301,21%,2%,100%,5:41,10:42
7,2022/2/13,94,573,1%,23%,70%,13:43,23:16
1,2022/5/11,76,520,3%,8%,72%,1:12,9:52
5,2022/7/22,95,339,25%,17%,93%,4:06,9:45
4,2022/5/22,87,533,29%,7%,98%,12:52,21:45
1,2022/5/23,97,547,19%,10%,79%,18:30,3:37
4,2022/8/12,82,528,29%,14%,87%,11:35,20:23
3,2022/5/17,97,322,24%,13%,84%,22:21,3:43
4,2022/4/10,85,406,15%,0%,87%,20:52,3:38
5,2022/3/4,77,360,9%,26%,77%,3:32,9:32
5,2022/6/10,92,459,18%,2%,96%,14:26,22:05
5,2022/7/24,87,520,2%,23%,94%,6:23,15:03
2,2022/3/4,89,492,21%,17%,80%,8:50,17:02
3,2022/5/12,73,360,21%,2%,85%,7:15,13:15
3,2022/5/30,74,567,19%,21%,86%,23:33,9:00
7,2022/1/15,75,589,23%,7%,73%,13:36,23:25
3,2022/3/12,79,571,23%,5%,97%,18:19,3:50
1,2022/1/27,87,402,16%,17%,82%,19:46,2:28
4,2022/3/1,86,463,29%,21%,93%,13:51,21:34
3,2022/6/17,92,596,2%,5%,98%,12:35,22:31
5,2022/7/22,78,339,7%,2%,70%,14:52,20:31
4,2022/4/1,76,448,12%,4%,97%,22:22,5:50
2,2022/7/31,97,416,25%,20%,79%,0:17,7:13
2,2022/3/20,82,309,2%,21%,97%,1:48,6:57
7,2022/7/15,85,545,26%,5%,95%,17:29,2:34
4,2022/2/3,71,376,1%,19%,97%,18:26,0:42
2,2022/7/24,93,523,21%,8%,95%,16:48,1:31
2,2022/2/4,97,403,11%,0%,79%,8:06,14:49
7,2022/4/14,90,503,9%,30%,100%,18:44,3:07
5,2022/2/14,70,525,12%,7%,92%,8:14,16:59
3,2022/4/26,92,501,17%,7%,94%,10:44,19:05
2,2022/2/6,97,472,10%,18%,78%,6:12,14:04
6,2022/7/10,75,530,21%,11%,89%,5:35,14:25
1,2022/7/2,92,401,1%,11%,71%,16:54,23:35
2,2022/5/16,75,516,20%,17%,72%,23:32,8:08
3,2022/6/3,95,588,7%,9%,95%,17:27,3:15
1,2022/3/31,77,552,13%,15%,72%,1:19,10:31
6,2022/8/26,96,407,12%,12%,100%,21:44,4:31
6,2022/1/23,84,437,28%,2%,80%,2:40,9:57
2,2022/6/15,70,357,10%,5%,86%,15:39,21:36
1,2022/7/21,71,350,21%,11%,87%,17:32,23:22
4,2022/2/26,92,337,10%,0%,91%,8:55,14:32
5,2022/5/27,88,453,24%,5%,83%,10:51,18:24
5,2022/7/28,74,423,17%,28%,80%,16:29,23:32
6,2022/6/15,97,588,2%,18%,70%,2:19,12:07
2,2022/1/24,74,538,19%,12%,97%,22:59,7:57
6,2022/8/3,70,343,21%,17%,78%,16:02,21:45
1,2022/2/17,90,572,1%,28%,89%,18:34,4:06
6,2022/8/7,82,404,9%,18%,82%,19:49,2:33
1,2022/4/27,80,421,7%,22%,95%,9:35,16:36
2,2022/4/25,74,519,18%,22%,100%,8:02,16:41
2,2022/8/26,79,409,11%,12%,74%,7:48,14:37
2,2022/7/3,87,537,22%,19%,75%,11:59,20:56
6,2022/5/23,98,482,8%,4%,86%,2:29,10:31
4,2022/4/11,74,476,9%,27%,84%,8:18,16:14
1,2022/8/17,92,417,6%,23%,99%,4:46,11:43
2,2022/3/26,97,500,2%,19%,98%,7:32,15:52
3,2022/6/7,96,320,30%,30%,97%,2:25,7:45
1,2022/5/31,99,410,7%,11%,81%,1:55,8:45
2,2022/5/1,94,347,29%,28%,82%,2:42,8:29
4,2022/1/17,70,596,21%,20%,100%,19:16,5:12
4,2022/5/8,83,540,22%,2%,87%,23:47,8:47
1,2022/8/9,71,541,25%,27%,76%,8:03,17:04
3,2022/4/28,84,548,2%,6%,85%,3:06,12:14
7,2022/1/10,90,364,9%,20%,82%,10:55,16:59
6,2022/3/5,73,580,4%,14%,87%,7:36,17:16
7,2022/5/20,89,322,4%,22%,96%,15:42,21:04
7,2022/3/6,90,519,3%,18%,80%,12:59,21:38
5,2022/5/4,83,560,18%,3%,85%,22:46,8:06
3,2022/8/9,73,571,8%,10%,98%,21:21,6:52
6,2022/7/17,82,596,5%,21%,82%,3:25,13:21
6,2022/6/14,98,450,21%,28%,97%,23:57,7:27
2,2022/1/25,94,483,22%,26%,71%,5:41,13:44
2,2022/6/22,90,361,9%,2%,85%,17:01,23:02
1,2022/8/11,77,463,12%,16%,70%,11:38,19:21
7,2022/8/15,97,535,18%,7%,98%,5:55,14:50
1,2022/2/18,96,437,12%,15%,93%,12:08,19:25
1,2022/3/23,99,546,0%,5%,74%,1:33,10:39
5,2022/1/5,78,311,8%,3%,80%,2:51,8:02
4,2022/1/25,89,500,13%,23%,86%,12:24,20:44
4,2022/4/30,84,403,7%,3%,97%,6:41,13:24
3,2022/3/14,86,581,26%,11%,93%,5:18,14:59
5,2022/7/17,90,356,8%,13%,77%,2:12,8:08
2,2022/4/17,80,318,20%,20%,87%,19:10,0:28
1,2022/7/26,72,385,20%,3%,92%,11:40,18:05
4,2022/5/5,93,465,6%,4%,78%,4:39,12:24
3,2022/6/11,99,359,0%,3%,72%,21:43,3:42
7,2022/4/9,70,333,21%,2%,71%,7:41,13:14
1,2022/5/25,98,384,8%,24%,76%,5:29,11:53
7,2022/2/10,97,538,8%,5%,79%,3:42,12:40
2,2022/3/7,81,392,1%,24%,100%,13:41,20:13
7,2022/1/26,76,367,21%,3%,74%,13:43,19:50
7,2022/3/1,75,490,22%,12%,97%,14:27,22:37
5,2022/6/22,94,344,3%,19%,85%,20:58,2:42
6,2022/8/22,79,335,22%,13%,70%,5:46,11:21
1,2022/3/24,70,335,13%,15%,79%,8:37,14:12
5,2022/3/23,96,349,27%,4%,77%,2:48,8:37
2,2022/5/9,77,392,20%,4%,70%,10:34,17:06
4,2022/1/31,91,597,25%,25%,87%,15:34,1:31
5,2022/3/19,71,344,28%,22%,73%,13:12,18:56
2,2022/7/26,78,422,15%,18%,82%,1:54,8:56
7,2022/1/24,89,502,10%,27%,99%,11:47,20:09
1,2022/3/10,87,501,3%,27%,98%,23:59,8:20
6,2022/6/24,94,317,2%,10%,82%,19:05,0:22
2,2022/6/7,72,582,28%,23%,80%,11:12,20:54
5,2022/1/5,75,325,19%,25%,74%,11:05,16:30
1,2022/4/7,87,540,28%,3%,93%,2:28,11:28
4,2022/4/6,74,582,24%,17%,88%,7:09,16:51
3,2022/3/4,99,332,5%,2%,93%,20:22,1:54
7,2022/3/7,91,356,14%,22%,93%,18:56,0:52
2,2022/6/7,82,586,7%,18%,72%,10:22,20:08
6,2022/6/25,85,504,19%,2%,75%,0:57,9:21
4,2022/2/20,86,529,19%,4%,84%,16:45,1:34
3,2022/1/19,92,545,17%,4%,97%,2:27,11:32
1,2022/4/29,78,447,21%,26%,97%,16:06,23:33
5,2022/3/7,92,321,27%,22%,83%,9:58,15:19
3,2022/3/16,97,423,13%,8%,75%,2:11,9:14
3,2022/6/7,73,456,13%,14%,90%,20:44,4:20
7,2022/4/23,73,302,22%,23%,74%,21:57,2:59
6,2022/2/26,76,499,26%,21%,82%,13:54,22:13
5,2022/1/13,73,312,21%,20%,87%,16:03,21:15
6,2022/7/9,97,376,10%,22%,85%,18:43,0:59
7,2022/5/1,82,581,21%,14%,85%,5:49,15:30
4,2022/6/13,87,570,19%,12%,87%,1:21,10:51
7,2022/7/12,90,566,3%,28%,77%,15:26,0:52
5,2022/4/20,81,464,10%,5%,91%,17:35,1:19
4,2022/4/27,73,584,15%,29%,71%,3:14,12:58
1,2022/8/10,96,508,17%,8%,98%,17:16,1:44
4,2022/5/21,97,582,18%,8%,79%,9:02,18:44
3,2022/2/21,98,369,22%,8%,80%,20:17,2:26
6,2022/3/26,86,566,1%,2%,94%,15:10,0:36
7,2022/3/30,75,306,12%,26%,88%,2:59,8:05
3,2022/7/31,80,527,8%,0%,91%,19:33,4:20
1,2022/5/11,70,400,23%,7%,86%,11:31,18:11
3,2022/5/26,91,324,28%,1%,72%,1:04,6:28
4,2022/7/3,91,498,10%,5%,88%,7:27,15:45
5,2022/8/25,87,413,13%,0%,84%,13:58,20:51
5,2022/2/15,94,353,8%,0%,88%,4:14,10:07
6,2022/3/26,88,554,16%,15%,90%,9:38,18:52
4,2022/1/13,99,398,25%,24%,70%,8:05,14:43
4,2022/7/25,89,326,17%,11%,76%,6:30,11:56
7,2022/4/10,77,454,22%,22%,81%,6:55,14:29
4,2022/5/15,99,487,8%,16%,98%,10:33,18:40
2,2022/4/22,96,358,7%,5%,87%,18:09,0:07
4,2022/4/9,70,533,11%,0%,88%,4:55,13:48
5,2022/1/13,70,392,5%,18%,99%,8:41,15:13
3,2022/1/12,84,495,29%,1%,79%,22:07,6:22
6,2022/3/9,74,443,1%,23%,77%,23:15,6:38
7,2022/2/24,92,409,27%,0%,75%,16:41,23:30
7,2022/3/18,82,518,2%,28%,93%,16:05,0:43
5,2022/6/13,91,473,9%,21%,97%,20:05,3:58
2,2022/1/7,82,316,7%,27%,83%,11:07,16:23
4,2022/3/21,99,484,20%,16%,84%,0:59,9:03
2,2022/2/20,91,561,17%,16%,86%,21:31,6:52
5,2022/1/3,97,564,6%,11%,99%,7:25,16:49
2,2022/7/10,78,514,16%,4%,87%,20:54,5:28
1,2022/1/30,77,490,16%,5%,82%,6:53,15:03
5,2022/7/14,81,539,12%,10%,73%,5:03,14:02
3,2022/3/22,89,311,17%,14%,93%,2:24,7:35
4,2022/5/23,94,537,19%,17%,98%,19:02,3:59
6,2022/5/27,70,528,4%,19%,83%,11:23,20:11
2,2022/5/14,81,433,15%,12%,82%,22:40,5:53
4,2022/2/10,89,472,4%,8%,82%,18:25,2:17
5,2022/1/31,85,358,2%,3%,77%,14:08,20:06
6,2022/8/19,82,377,6%,30%,77%,2:33,8:50
5,2022/6/18,92,435,25%,27%,77%,3:28,10:43
1,2022/3/6,99,330,17%,25%,71%,18:07,23:37
1,2022/8/4,72,309,3%,14%,74%,0:19,5:28
3,2022/1/9,91,399,29%,25%,98%,10:11,16:50
5,2022/5/22,73,439,4%,9%,88%,5:39,12:58
4,2022/7/25,94,306,5%,17%,85%,0:34,5:40
1,2022/4/28,93,389,26%,4%,100%,17:35,0:04
6,2022/4/14,77,543,0%,9%,78%,11:23,20:26
1,2022/8/10,70,351,13%,28%,71%,8:56,14:47
5,2022/7/5,87,537,29%,23%,81%,22:13,7:10
5,2022/6/8,82,540,20%,1%,84%,18:54,3:54
6,2022/7/28,85,565,7%,21%,73%,20:19,5:44
4,2022/3/30,74,545,28%,28%,88%,21:36,6:41
2,2022/6/5,93,471,28%,5%,74%,23:19,7:10
3,2022/1/7,96,455,24%,28%,84%,1:19,8:54
6,2022/8/16,95,347,11%,24%,96%,4:18,10:05
1,2022/1/7,91,330,8%,12%,90%,9:31,15:01
2,2022/7/10,86,553,11%,1%,100%,7:38,16:51
7,2022/5/9,78,568,2%,13%,96%,8:28,17:56
2,2022/3/13,72,358,4%,6%,70%,12:33,18:31
2,2022/3/3,72,403,23%,11%,84%,16:03,22:46
1,2022/1/31,99,378,25%,9%,89%,4:27,10:45
3,2022/4/30,80,595,23%,30%,78%,0:47,10:42
3,2022/3/2,72,503,7%,22%,93%,18:40,3:03
5,2022/3/20,96,505,23%,4%,78%,14:31,22:56
5,2022/1/29,88,539,2%,22%,75%,7:45,16:44
7,2022/3/10,98,432,0%,6%,80%,16:42,23:54
5,2022/3/23,77,434,29%,11%,97%,22:06,5:20
7,2022/4/14,91,459,29%,7%,89%,18:25,2:04
5,2022/8/23,80,354,12%,17%,99%,19:08,1:02
1,2022/2/26,74,403,24%,12%,75%,18:51,1:34
5,2022/4/15,72,430,27%,2%,99%,3:24,10:34
5,2022/4/3,96,345,24%,7%,98%,20:38,2:23
5,2022/4/8,97,594,13%,15%,93%,21:48,7:42
5,2022/5/11,70,344,4%,14%,80%,19:21,1:05
2,2022/7/2,85,471,10%,29%,89%,19:34,3:25
1,2022/3/17,77,513,9%,7%,89%,16:10,0:43
3,2022/8/10,96,425,5%,20%,96%,21:38,4:43
2,2022/2/8,88,372,16%,27%,100%,23:08,5:20
1,2022/2/22,85,409,23%,5%,100%,12:08,18:57
6,2022/7/16,96,384,15%,27%,71%,8:02,14:26
2,2022/4/9,88,362,16%,27%,95%,0:09,6:11
3,2022/4/1,81,457,15%,30%,73%,22:59,6:36
3,2022/6/6,95,508,8%,8%,73%,6:34,15:02
3,2022/2/2,73,427,24%,0%,87%,20:30,3:37
7,2022/4/10,75,442,27%,13%,97%,18:04,1:26
7,2022/7/31,90,531,20%,24%,73%,21:08,5:59
3,2022/8/15,70,551,23%,28%,97%,3:46,12:57
7,2022/4/19,90,524,11%,29%,98%,8:06,16:50
6,2022/5/9,85,403,10%,2%,76%,14:13,20:56
4,2022/5/4,76,321,22%,2%,77%,22:28,3:49
4,2022/5/14,91,430,23%,18%,92%,0:23,7:33
2,2022/3/12,77,552,6%,6%,91%,14:23,23:35
2,2022/8/11,92,461,23%,0%,78%,20:12,3:53
3,2022/6/20,81,455,27%,0%,70%,8:35,16:10
2,2022/1/17,94,580,28%,28%,86%,23:57,9:37
3,2022/5/19,84,474,5%,17%,70%,15:16,23:10
2,2022/4/16,81,499,26%,24%,72%,15:33,23:52
3,2022/2/18,96,400,19%,27%,99%,6:21,13:01
5,2022/3/2,86,564,9%,22%,81%,13:08,22:32
1,2022/3/28,98,504,9%,19%,97%,4:14,12:38
6,2022/7/23,92,576,27%,26%,74%,12:26,22:02
7,2022/2/10,74,517,25%,7%,97%,10:01,18:38
1,2022/2/26,71,597,13%,28%,82%,7:15,17:12
6,2022/1/30,78,596,30%,9%,77%,20:09,6:05
6,2022/6/2,89,323,29%,5%,70%,23:39,5:02
3,2022/1/2,96,367,14%,5%,97%,4:39,10:46
5,2022/4/24,79,442,1%,9%,75%,7:25,14:47
6,2022/8/20,80,597,9%,29%,92%,16:57,2:54
5,2022/5/20,70,529,16%,4%,84%,1:07,9:56
4,2022/7/12,88,462,11%,25%,93%,2:04,9:46
7,2022/1/27,93,307,25%,22%,91%,4:46,9:53
7,2022/8/18,97,338,25%,29%,77%,19:35,1:13
7,2022/7/20,77,475,20%,6%,80%,8:10,16:05
7,2022/2/18,75,456,12%,1%,82%,17:16,0:52
7,2022/2/1,94,335,16%,21%,94%,10:06,15:41
5,2022/6/7,99,427,30%,8%,85%,3:58,11:05
5,2022/5/21,97,427,21%,16%,85%,5:35,12:42
5,2022/7/20,94,372,22%,19%,91%,6:19,12:31
2,2022/4/9,82,571,12%,26%,72%,7:41,17:12
7,2022/8/30,73,595,21%,25%,83%,17:09,3:04
6,2022/1/9,72,595,6%,16%,79%,2:42,12:37
4,2022/2/8,87,429,25%,1%,84%,8:26,15:35
7,2022/6/9,98,375,5%,3%,88%,21:33,3:48
1,2022/6/12,86,325,13%,23%,85%,13:37,19:02
3,2022/8/27,70,379,26%,4%,73%,23:55,6:14
6,2022/1/9,76,444,12%,24%,92%,5:14,12:38
3,2022/8/19,79,455,3%,22%,86%,16:26,0:01
2,2022/3/29,73,471,23%,1%,76%,21:19,5:10
1,2022/4/19,76,553,0%,2%,97%,22:48,8:01
4,2022/2/23,91,339,28%,25%,96%,3:09,8:48
5,2022/8/17,85,343,25%,26%,92%,10:30,16:13
6,2022/6/14,86,393,11%,7%,83%,16:51,23:24
3,2022/5/18,74,398,22%,19%,77%,20:30,3:08
6,2022/1/25,82,313,20%,25%,70%,13:21,18:34
3,2022/6/21,90,460,21%,11%,76%,4:01,11:41
2,2022/2/12,95,342,6%,9%,98%,5:57,11:39
3,2022/6/18,94,533,11%,24%,95%,11:07,20:00
1,2022/4/16,79,536,2%,30%,95%,8:25,17:21
2,2022/7/19,83,399,4%,10%,83%,14:31,21:10
5,2022/2/3,74,529,27%,4%,79%,6:03,14:52
1,2022/5/19,93,456,16%,20%,93%,16:01,23:37
7,2022/1/20,82,404,5%,25%,100%,13:20,20:04
4,2022/4/28,77,488,8%,13%,70%,13:31,21:39
6,2022/2/20,71,518,9%,14%,82%,21:24,6:02
1,2022/2/11,88,311,30%,27%,84%,13:11,18:22
1,2022/4/7,93,593,16%,23%,98%,6:34,16:27
1,2022/5/18,72,366,9%,4%,99%,19:17,1:23
6,2022/1/14,74,554,23%,4%,93%,6:58,16:12
7,2022/6/2,89,492,5%,25%,97%,4:39,12:51
1,2022/7/7,97,524,29%,19%,72%,14:26,23:10
6,2022/4/24,90,557,4%,25%,86%,7:18,16:35
6,2022/3/5,82,437,9%,7%,88%,10:21,17:38
6,2022/2/19,91,595,17%,1%,99%,3:16,13:11
7,2022/4/19,76,545,6%,17%,72%,5:24,14:29
3,2022/3/23,81,338,25%,27%,93%,7:56,13:34
2,2022/3/12,86,313,27%,2%,84%,10:51,16:04
3,2022/5/4,85,585,26%,13%,80%,21:55,7:40
7,2022/6/7,72,574,29%,13%,84%,16:04,1:38
7,2022/3/6,90,512,6%,24%,77%,3:42,12:14
1,2022/6/3,77,569,8%,5%,86%,8:20,17:49
4,2022/1/6,93,594,30%,1%,94%,18:37,4:31
5,2022/4/28,89,309,25%,23%,91%,12:06,17:15
2,2022/4/23,96,380,14%,12%,76%,1:13,7:33
2,2022/7/8,73,341,23%,23%,100%,7:05,12:46
2,2022/6/7,77,416,27%,4%,82%,5:19,12:15
7,2022/7/25,89,381,16%,26%,83%,4:32,10:53
3,2022/3/16,94,595,2%,0%,90%,1:50,11:45
7,2022/5/5,89,456,13%,10%,94%,7:34,15:10
